,song_id,title,release_date,artist_name
1,AZXB0987CFG001,Blinding Lights,2019,The Weeknd
2,AZXB0987CFG002,Drivers License,2021,Olivia Rodrigo
3,AZXB0987CFG003,Butter,2021,BTS
4,AZXB0987CFG004,Levitating,2020,Dua Lipa
5,AZXB0987CFG005,Save Your Tears,2021,The Weeknd
6,AZXB0987CFG006,Mood,2020,24Goldn
7,AZXB0987CFG007,Watermelon Sugar,2020,Harry Styles
8,AZXB0987CFG008,Peaches,2021,Justin Bieber
9,AZXB0987CFG009,Leave The Door Open,2021,Silk Sonic
10,AZXB0987CFG010,Good 4 U,2021,Olivia Rodrigo
11,AZXB0987CFG011,Montero,2021,Lil Nas
12,AZXB0987CFG012,Don't Start Now,2019,Dua Lipa
13,AZXB0987CFG013,Jerusalema,2019,Master KG
14,AZXB0987CFG014,Fall,2017,Davido
15,AZXB0987CFG015,Collateral Damage,2019,Burna Boy
16,AZXB0987CFG016,African Giant,2019,Burna Boy
17,AZXB0987CFG017,Nwa Baby,2018,Flavour
18,AZXB0987CFG018,Johnny,2014,Yemi Alade
19,AZXB0987CFG019,Soco,2018,Wizkid
20,AZXB0987CFG020,Soapy,2019,Naira Marley
21,AZXB0987CFG021,Ginger,2020,Wizkid
22,AZXB0987CFG022,Jowo,2020,Davido
23,AZXB0987CFG023,Ojuelegba,2014,Wizkid
24,AZXB0987CFG024,Ye,2018,Burna Boy
25,AZXB0987CFG025,Dumebi,2019,Rema
26,AZXB0987CFG026,Personally,2013,P-Square
27,AZXB0987CFG027,Koroba,2020,Tiwa Savage
28,AZXB0987CFG028,Old Town Road,2019,Lil Nas
29,AZXB0987CFG029,Shallow,2018,Lady Gaga
30,AZXB0987CFG030,Bad Guy,2019,Billie Eilish
31,AZXB0987CFG031,Essence,2020,Tems
32,AZXB0987CFG032,Fem,2020,Davido
33,AZXB0987CFG033,Dodo,2015,Davido
34,AZXB0987CFG034,Mad Over You,2016,Runtown
35,AZXB0987CFG035,Vibration,2019,Fireboy DML
36,AZXB0987CFG036,Kilofeshe,2020,Zinoleesky
37,AZXB0987CFG037,Eru,2020,Olamide
38,AZXB0987CFG038,Nobody,2020,DJ Neptune
39,AZXB0987CFG039,Tesumole,2019,Naira Marley
40,AZXB0987CFG040,Hand of God,2016,Jon Bellion
